,sentence,category,subcategory,domain,id,audio_quality,prosody_1,meaning_1,translation_1,audio_1,prosody_2,meaning_2,translation_2,audio_2
259,She designed a vintage theme for the party.,Sentence Stress,Relational/Descriptive Adjectives,Event Planning,10559,1,She designed a *VINTAGE* theme for the party.,A theme that is old-fashioned or retro. (Relational),彼女はパーティーのためにビンテージのテーマをデザインした。,data/sentence_stress/wavs/10559/10559_1_0.wav,She designed a vintage *THEME* for the party.,A theme that appears old-fashioned. (Descriptive),彼女はパーティーのためにビンテージ風のテーマをデザインした。,data/sentence_stress/wavs/10559/10559_2_5.wav
260,We organized an elegant dinner for the guests.,Sentence Stress,Relational/Descriptive Adjectives,Event Planning,10560,2,We organized an *ELEGANT* dinner for the guests.,A dinner event that is elegant in nature. (Relational),私たちはお客様のために優雅なディナーを企画しました。,data/sentence_stress/wavs/10560/10560_1_5.wav,We organized an elegant *DINNER* for the guests.,The dinner itself is elegant. (Descriptive),私たちはお客様のために気品あるディナー会を企画しました。,data/sentence_stress/wavs/10560/10560_2_0.wav
261,We followed a historical path.,Sentence Stress,Relational/Descriptive Adjectives,Travel Guides,10566,1,We followed a *HISTORICAL* path.,A path significant for its historical importance. (Relational),私たちは歴史上重要な道をたどった,data/sentence_stress/wavs/10566/10566_1_2.wav,We followed a historical *PATH*.,A path that is part of history. (Descriptive),私たちは歴史的な道をたどった,data/sentence_stress/wavs/10566/10566_2_5.wav
262,We admired the natural scenery.,Sentence Stress,Relational/Descriptive Adjectives,Travel Guides,10570,1,We admired the *NATURAL* scenery.,Scenery consisting of natural features. (Relational),私たちは自然の景観を賞賛しました。,data/sentence_stress/wavs/10570/10570_1_5.wav,We admired the natural *SCENERY*.,Scenery that appears natural and untouched. (Descriptive),私たちは自然の風景を賞賛しました。,data/sentence_stress/wavs/10570/10570_2_0.wav
263,We serve a flavorful herb pasta.,Sentence Stress,Relational/Descriptive Adjectives,Restaurant Menus,10578,1,We serve a flavorful *HERB* pasta.,Pasta seasoned with herbs. (Relational),私たちはハーブの風味が特徴の風味豊かなパスタをご提供します。,data/sentence_stress/wavs/10578/10578_1_4.wav,We serve a flavorful herb *PASTA*.,A pasta dish known for its herbal flavors. (Descriptive),私たちは風味豊かなハーブパスタをご提供します。,data/sentence_stress/wavs/10578/10578_2_4.wav
264,Her performance was in a long movie.,Sentence Stress,Relational/Descriptive Adjectives,Movie Reviews,10583,2,Her performance was in a *LONG* movie.,A movie with a lengthy runtime. (Relational),彼女の演技は長時間の映画に出ていました。,data/sentence_stress/wavs/10583/10583_1_1.wav,Her performance was in a long *MOVIE*.,A movie that felt lengthy and perhaps boring. (Descriptive),彼女の演技は長編映画に出ていました。,data/sentence_stress/wavs/10583/10583_2_1.wav
265,She picked a fresh batch of goods.,Sentence Stress,Relational/Descriptive Adjectives,Catalogs,10601,2,She picked a *FRESH* batch of goods.,A newly arrived batch of goods. (Relational),彼女は新鮮な商品の一束を選んだ,data/sentence_stress/wavs/10601/10601_1_5.wav,She picked a fresh *BATCH* of goods.,A batch of goods that is not stale or old. (Descriptive),彼女は新しく届いた商品の一束を選んだ,data/sentence_stress/wavs/10601/10601_2_4.wav
266,They displayed the ancient artifacts prominently.,Sentence Stress,Relational/Descriptive Adjectives,Catalogs,10605,1,They displayed the *ANCIENT* artifacts prominently.,Artifacts that come from ancient civilizations. (Relational),彼らは古代の工芸品を目立つように展示した,data/sentence_stress/wavs/10605/10605_1_5.wav,They displayed the ancient *ARTIFACTS* prominently.,Artifacts that are very old. (Descriptive),彼らは古代文明の工芸品を目立つように展示した,data/sentence_stress/wavs/10605/10605_2_5.wav
267,Our store offers a seasonal discount.,Sentence Stress,Relational/Descriptive Adjectives,Catalogs,10606,1,Our store offers a *SEASONAL* discount.,A discount that is available during a certain season. (Relational),当店では季節限定の割引を提供しています。,data/sentence_stress/wavs/10606/10606_1_4.wav,Our store offers a seasonal *DISCOUNT*.,A discount that changes with the seasons. (Descriptive),当店では季節割引を提供しています。,data/sentence_stress/wavs/10606/10606_2_5.wav
268,He examined the ancient book on the shelf.,Sentence Stress,Relational/Descriptive Adjectives,Catalogs,10607,1,He examined the *ANCIENT* book on the shelf.,The book classified as an ancient text. (Relational),彼は棚の上の古代文書を調査した,data/sentence_stress/wavs/10607/10607_1_5.wav,He examined the ancient *BOOK* on the shelf.,The book that is very old. (Descriptive),彼は棚の上の古書を調査した,data/sentence_stress/wavs/10607/10607_2_1.wav
269,He cited numerous academic sources.,Sentence Stress,Contrastive Stress (Noun-Phrase),Debate Competitions,10629,1,He cited numerous *ACADEMIC* sources.,The sources he cited were scholarly or academic in nature.,彼はたくさんの学術的な資料を引用しました,data/sentence_stress/wavs/10629/10629_1_0.wav,He cited numerous academic *SOURCES*.,"The number of sources he cited was large, and they were academic.",彼は多くの学術的な資料を引用しました,data/sentence_stress/wavs/10629/10629_2_0.wav
270,The focus should be on developing renewable energy.,Sentence Stress,Contrastive Stress (Noun-Phrase),Political Speeches,10636,1,The focus should be on developing *RENEWABLE* energy.,"The emphasis is on energy that is renewable, rather than non-renewable sources.",再生可能なエネルギーの開発に焦点を当てるべきです,data/sentence_stress/wavs/10636/10636_1_4.wav,The focus should be on developing renewable *ENERGY*.,"The emphasis is on the energy aspect, particularly renewable forms of energy.",エネルギーに焦点を当て、再生可能なものを開発するべきです,data/sentence_stress/wavs/10636/10636_2_5.wav
271,You can return a defective tablet to the store.,Sentence Stress,Contrastive Stress (Noun-Phrase),Customer Service,10643,1,You can return a *DEFECTIVE* tablet to the store.,Returns are accepted if the tablet is defective.,あなたは欠陥品のタブレットを店に返品できます,data/sentence_stress/wavs/10643/10643_1_4.wav,You can return a defective *TABLET* to the store.,"Returns are for tablets, not other electronics.",あなたは欠陥のあるタブレットを店に返品できます,data/sentence_stress/wavs/10643/10643_2_5.wav
272,We detected a malicious software on your computer.,Sentence Stress,Contrastive Stress (Noun-Phrase),Customer Service,10646,1,We detected a *MALICIOUS* software on your computer.,"The software is specifically malicious in nature, indicating a security threat.",お客様のコンピュータに特に悪意のあるソフトウェアが検出されました。,data/sentence_stress/wavs/10646/10646_1_5.wav,We detected a malicious *SOFTWARE* on your computer.,"The issue is with software, not other types of files or programs.",お客様のコンピュータに悪意のあるソフトウェアが検出されました。,data/sentence_stress/wavs/10646/10646_2_5.wav
275,The professor reviewed the draft manuscript for the publication.,Sentence Stress,Contrastive Stress (Noun-Phrase),Teaching/Education,10657,2,The professor reviewed the *DRAFT* manuscript for the publication.,"The draft version, as opposed to the final or another version, was reviewed.",その教授は出版のために草稿を確認した,data/sentence_stress/wavs/10657/10657_1_5.wav,The professor reviewed the draft *MANUSCRIPT* for the publication.,"The manuscript, rather than another kind of submission, was reviewed.",その教授は出版のために原稿の草稿を確認した,data/sentence_stress/wavs/10657/10657_2_0.wav
276,We need to buy new school uniforms for the kids.,Sentence Stress,Contrastive Stress (Noun-Phrase),Parenting,10661,2,We need to buy new *SCHOOL* uniforms for the kids.,"Emphasizing that the uniforms must be for school, not other types of uniforms.",私たちは子供たちのために新しい学校用の制服を買う必要があります,data/sentence_stress/wavs/10661/10661_1_2.wav,We need to buy new school *UNIFORMS* for the kids.,"Emphasizing that uniforms, not other types of clothing, are needed.",私たちは子供たちのために新しい制服を買う必要があります,data/sentence_stress/wavs/10661/10661_2_5.wav
277,He needs new athletic shoes for his sports practice.,Sentence Stress,Contrastive Stress (Noun-Phrase),Parenting,10665,2,He needs new *ATHLETIC* shoes for his sports practice.,"The emphasis is on the shoes being specifically for athletic purposes, not casual shoes.",彼はスポーツの練習のために新しいスポーツ用の靴が必要です。,data/sentence_stress/wavs/10665/10665_1_0.wav,He needs new athletic *SHOES* for his sports practice.,"The emphasis is on shoes, indicating the type of sports gear needed.",彼はスポーツの練習のために新しい運動靴が必要です。,data/sentence_stress/wavs/10665/10665_2_2.wav
278,They recommended bringing extra diapers for the baby.,Sentence Stress,Contrastive Stress (Noun-Phrase),Parenting,10670,1,They recommended bringing *EXTRA* diapers for the baby.,"Emphasizing that additional diapers should be brought, not just the regular amount.",彼らは赤ちゃんのために通常よりも多めのおむつを持ってくることを勧めた。,data/sentence_stress/wavs/10670/10670_1_5.wav,They recommended bringing extra *DIAPERS* for the baby.,"Emphasizing that it is diapers, not other baby supplies, that need to be brought in extra amounts.",彼らは赤ちゃんのために他のものではなくおむつを多めに持ってくることを勧めた。,data/sentence_stress/wavs/10670/10670_2_0.wav
279,She was reviewing the new project proposal.,Sentence Stress,Contrastive Stress (Noun-Phrase),Workplace Communication,10672,1,She was reviewing the new *PROJECT* proposal.,"The proposal pertains to a new project, not an older one.",彼女は新プロジェクトの提案書を検討していた。,data/sentence_stress/wavs/10672/10672_1_0.wav,She was reviewing the new project *PROPOSAL*.,"What was being reviewed is the proposal, not, for example, the budget.",彼女は新しいプロジェクト提案書を検討していた。,data/sentence_stress/wavs/10672/10672_2_4.wav
280,We need to evaluate the quarterly sales performance.,Sentence Stress,Contrastive Stress (Noun-Phrase),Workplace Communication,10673,1,We need to evaluate the quarterly *SALES* performance.,"The evaluation should focus on sales performance, rather than other metrics like customer satisfaction.",四半期の売上実績を評価する必要があります。,data/sentence_stress/wavs/10673/10673_1_3.wav,We need to evaluate the quarterly sales *PERFORMANCE*.,"We'll be looking at performance indicators specifically, not just raw sales numbers.",四半期の業績を評価する必要があります。,data/sentence_stress/wavs/10673/10673_2_4.wav
281,They raised concerns about the budget allocation.,Sentence Stress,Contrastive Stress (Noun-Phrase),Workplace Communication,10677,1,They raised concerns about the *BUDGET* allocation.,Concerns are primarily about the budget as opposed to other resources.,彼らは予算そのものについて懸念を表明した。,data/sentence_stress/wavs/10677/10677_1_4.wav,They raised concerns about the budget *ALLOCATION*.,"Concerns are about how the budget is allocated, not other aspects of the budget like total amount.",彼らは予算の配分について懸念を表明した。,data/sentence_stress/wavs/10677/10677_2_0.wav
282,The team is developing a comprehensive training program.,Sentence Stress,Contrastive Stress (Noun-Phrase),Workplace Communication,10679,1,The team is developing a comprehensive *TRAINING* program.,"The focus is on training aspects within the program, not other features like orientation.",チームは包括的な訓練プログラムを開発しています,data/sentence_stress/wavs/10679/10679_1_4.wav,The team is developing a comprehensive training *PROGRAM*.,"Attention is given to the program structure itself, not other training methods.",チームは包括的な研修プログラムを開発しています,data/sentence_stress/wavs/10679/10679_2_1.wav
283,He described a distressing thought.,Sentence Stress,Contrastive Stress (Noun-Phrase),Therapy Sessions,10687,2,He described a *DISTRESSING* thought.,The thought he described causes distress specifically.,彼は悩ましい思いを述べた。,data/sentence_stress/wavs/10687/10687_1_0.wav,He described a distressing *THOUGHT*.,"He described a thought that is distressing, not an event or feeling.",彼は悩ましい思考を述べた。,data/sentence_stress/wavs/10687/10687_2_4.wav
284,The session included a group activity.,Sentence Stress,Contrastive Stress (Noun-Phrase),Therapy Sessions,10688,1,The session included a *GROUP* activity.,"The activity was meant for a group, highlighting the involvement of multiple people.",セッションにはグループ活動が含まれていました。,data/sentence_stress/wavs/10688/10688_1_5.wav,The session included a group *ACTIVITY*.,"An activity was included in the session, not another form of engagement.",セッションにはアクティビティが含まれていました。,data/sentence_stress/wavs/10688/10688_2_1.wav
285,She is taking a mindfulness course.,Sentence Stress,Contrastive Stress (Noun-Phrase),Therapy Sessions,10689,2,She is taking a *MINDFULNESS* course.,The course focuses on mindfulness specifically.,彼女はマインドフルネスに特化したコースを受けています,data/sentence_stress/wavs/10689/10689_1_4.wav,She is taking a mindfulness *COURSE*.,"She is enrolled in a course, not another form of training, that is focused on mindfulness.",彼女はマインドフルネスのコースを受けています,data/sentence_stress/wavs/10689/10689_2_4.wav
286,The report exposed the corrupt officials.,Sentence Stress,Contrastive Stress (Noun-Phrase),Journalism,10693,1,The report exposed the *CORRUPT* officials.,Their corruption was the central issue exposed.,報告書は汚職役人を暴露した。,data/sentence_stress/wavs/10693/10693_1_0.wav,The report exposed the corrupt *OFFICIALS*.,"Specific individuals were exposed, not necessarily their corruption.",報告書は腐敗した役人を暴露した。,data/sentence_stress/wavs/10693/10693_2_0.wav
287,The columnist criticized the government policy.,Sentence Stress,Contrastive Stress (Noun-Phrase),Journalism,10697,1,The columnist criticized the *GOVERNMENT* policy.,The focus is on the policy implemented by the government.,コラムニストは政府の政策を批判した。,data/sentence_stress/wavs/10697/10697_1_1.wav,The columnist criticized the government *POLICY*.,"The focus is specifically on the policy aspect, not just that it's governmental.",コラムニストは政策、特に政府のものを批判した。,data/sentence_stress/wavs/10697/10697_2_5.wav
288,Our store features a variety of vegan snacks.,Sentence Stress,Contrastive Stress (Noun-Phrase),Sales Pitches,10709,1,Our store features a variety of *VEGAN* snacks.,The snacks available in our store are specifically vegan.,私たちの店では様々なビーガンスナックを取り揃えています。,data/sentence_stress/wavs/10709/10709_1_5.wav,Our store features a variety of vegan *SNACKS*.,"Our store has snacks, not meals, that are vegan.",私たちの店ではビーガンの様々なスナックを取り揃えています。,data/sentence_stress/wavs/10709/10709_2_4.wav
289,They conducted a detailed survey on customer satisfaction.,Sentence Stress,Contrastive Stress (Noun-Phrase),Marketing Presentations,10715,1,They conducted a detailed survey on *CUSTOMER* satisfaction.,"Strong emphasis on the satisfaction of customers, not employees or partners.",彼らは顧客に対する満足度に関する詳細な調査を行った。,data/sentence_stress/wavs/10715/10715_1_2.wav,They conducted a detailed survey on customer *SATISFACTION*.,"The focus is on satisfaction specifically, rather than other metrics like loyalty.",彼らは顧客満足度に関する詳細な調査を行った。,data/sentence_stress/wavs/10715/10715_2_5.wav
290,We experienced significant growth in online sales.,Sentence Stress,Contrastive Stress (Noun-Phrase),Marketing Presentations,10717,1,We experienced significant growth in *ONLINE* sales.,"The growth was specifically in online sales, as opposed to offline or in-store sales.",私たちは特にオンライン販売で大幅な成長を遂げました。,data/sentence_stress/wavs/10717/10717_1_5.wav,We experienced significant growth in online *SALES*.,"The growth was in sales, not other areas like website traffic or engagement.",私たちはオンラインの売上で大幅な成長を遂げました。,data/sentence_stress/wavs/10717/10717_2_1.wav
291,Evacuate all upper floors of the building now.,Sentence Stress,Contrastive Stress (Noun-Phrase),Emergency Announcements,10733,1,Evacuate all *UPPER* floors of the building now.,Highlighting that only the upper floors need to be evacuated.,建物の上の全ての階を今すぐ避難させてください。,data/sentence_stress/wavs/10733/10733_1_5.wav,Evacuate all upper *FLOORS* of the building now.,"Emphasizing that every floor above the ground floor must be evacuated, clarifying that no floor should be ignored.",建物の上階すべてを今すぐ避難させてください。,data/sentence_stress/wavs/10733/10733_2_2.wav
292,Move any obstructing furniture out of the way.,Sentence Stress,Contrastive Stress (Noun-Phrase),Emergency Announcements,10738,2,Move any *OBSTRUCTING* furniture out of the way.,Emphasizing that only furniture that is causing an obstruction needs to be moved.,どかす家具は邪魔になっている物だけ,data/sentence_stress/wavs/10738/10738_1_2.wav,Move any obstructing *FURNITURE* out of the way.,"Emphasizing that the objects to be moved are pieces of furniture, not other types of obstructions.",どかす家具は邪魔になっている物すべて,data/sentence_stress/wavs/10738/10738_2_5.wav
293,He needs a course of physical therapy.,Sentence Stress,Contrastive Stress (Noun-Phrase),Medical Consultations,10744,2,He needs a course of *PHYSICAL* therapy.,"The therapy required should be physical, not another type like speech or occupational therapy.",彼は理学療法のコースを必要としています,data/sentence_stress/wavs/10744/10744_1_4.wav,He needs a course of physical *THERAPY*.,"Therapy of any kind is necessary, focusing on the therapy as the treatment.",彼は治療の一環として理学療法を必要としています,data/sentence_stress/wavs/10744/10744_2_5.wav
294,The professor discussed the important findings.,Sentence Stress,Contrastive Stress (Noun-Phrase),Scientific Presentations,10750,1,The professor discussed the *IMPORTANT* findings.,The findings that were crucial or significant were discussed.,教授が非常に重要な発見について議論しました。,data/sentence_stress/wavs/10750/10750_1_5.wav,The professor discussed the important *FINDINGS*.,"The discussion was about findings, not other aspects like methods or theories.",教授が重要な発見について議論しました。,data/sentence_stress/wavs/10750/10750_2_0.wav
295,The results indicate significant improvements in performance.,Sentence Stress,Contrastive Stress (Noun-Phrase),Scientific Presentations,10755,1,The results indicate *SIGNIFICANT* improvements in performance.,The improvements that are substantial and notable are indicated.,結果はパフォーマンスの大幅な向上を示しています。,data/sentence_stress/wavs/10755/10755_1_0.wav,The results indicate significant *IMPROVEMENTS* in performance.,"The focus is on the improvements specifically, not just changes or adjustments.",結果はパフォーマンスの顕著な向上を示しています。,data/sentence_stress/wavs/10755/10755_2_5.wav
296,She delivered an impeccable performance in yesterday's episode.,Sentence Stress,Contrastive Stress (Noun-Phrase),Television Interviews,10770,1,She delivered an impeccable performance in *YESTERDAY'S* episode.,The performance was impeccable specifically in the episode that aired yesterday.,彼女は昨日のエピソードで完璧な演技を披露しました。,data/sentence_stress/wavs/10770/10770_1_5.wav,She delivered an impeccable performance in yesterday's *EPISODE*.,"The performance was impeccable in yesterday's episode, not in other content or episodes.",彼女は昨日の放送されたエピソードで完璧な演技を披露しました。,data/sentence_stress/wavs/10770/10770_2_4.wav
298,The interviewer asked about the controversial topic in detail.,Sentence Stress,Contrastive Stress (Noun-Phrase),Television Interviews,10779,1,The interviewer asked about the *CONTROVERSIAL* topic in detail.,The topic's controversial nature is the focus here.,インタビュアーは詳細に物議を醸した話題について質問した,data/sentence_stress/wavs/10779/10779_1_2.wav,The interviewer asked about the controversial *TOPIC* in detail.,"The subject matter itself is the focus, not just its controversial aspect.",インタビュアーは詳細に物議を醸す話題について質問した,data/sentence_stress/wavs/10779/10779_2_5.wav
299,He scored a brilliant winning goal.,Sentence Stress,Contrastive Stress (Noun-Phrase),Sports Commentary,10781,2,He scored a brilliant *WINNING* goal.,The brilliance is attributed to the fact that the goal was the winning one.,彼は見事な勝ちゴールを決めた。,data/sentence_stress/wavs/10781/10781_1_1.wav,He scored a brilliant winning *GOAL*.,"The brilliance is attributed to the goal itself, whether it was the winning one or not.",彼は見事な決勝ゴールを決めた。,data/sentence_stress/wavs/10781/10781_2_4.wav
300,They selected a young talented pitcher for the season.,Sentence Stress,Contrastive Stress (Noun-Phrase),Sports Commentary,10782,2,They selected a young *TALENTED* pitcher for the season.,Emphasis on the talent of the pitcher as the reason for selection.,彼らはシーズンのために才能に恵まれた若いピッチャーを選びました。,data/sentence_stress/wavs/10782/10782_1_0.wav,They selected a young talented *PITCHER* for the season.,Emphasis on the specific choice of a pitcher rather than other positions.,彼らはシーズンのために若くて才能のあるピッチャーを選びました。,data/sentence_stress/wavs/10782/10782_2_5.wav
301,She made an incredible defensive save.,Sentence Stress,Contrastive Stress (Noun-Phrase),Sports Commentary,10783,2,She made an incredible *DEFENSIVE* save.,The incredible nature is due to the defensive aspect of the save.,彼女は信じられないほどの守備的なセーブをした,data/sentence_stress/wavs/10783/10783_1_5.wav,She made an incredible defensive *SAVE*.,"The incredible part is the save itself, regardless of its defensive nature.",彼女は信じられないほどのセーブをした,data/sentence_stress/wavs/10783/10783_2_2.wav
302,They developed an aggressive offensive strategy.,Sentence Stress,Contrastive Stress (Noun-Phrase),Sports Commentary,10784,1,They developed an aggressive *OFFENSIVE* strategy.,The aggression is highlighted in their offensive strategy.,彼らは攻撃的な攻撃戦略を策定した,data/sentence_stress/wavs/10784/10784_1_4.wav,They developed an aggressive offensive *STRATEGY*.,"The focus is on the strategy aspect, which happened to be aggressive and offensive.",彼らは攻撃的な戦略を策定した,data/sentence_stress/wavs/10784/10784_2_3.wav
303,He wore custom protective gear during the match.,Sentence Stress,Contrastive Stress (Noun-Phrase),Sports Commentary,10787,1,He wore custom *PROTECTIVE* gear during the match.,The custom gear is highlighted for its protective attributes.,彼は試合中に特注の防護用具を着用した。,data/sentence_stress/wavs/10787/10787_1_2.wav,He wore custom protective *GEAR* during the match.,"The focus is on the fact that it was custom gear, regardless of its protective nature.",彼は試合中に特注の装備を着用した。,data/sentence_stress/wavs/10787/10787_2_5.wav
304,She found the enchanted forest.,Sentence Stress,Contrastive Stress (Noun-Phrase),Storytelling,10792,1,She found the *ENCHANTED* forest.,"The forest is enchanted, not just any ordinary forest.",彼女は魔法がかかった森を見つけた,data/sentence_stress/wavs/10792/10792_1_5.wav,She found the enchanted *FOREST*.,"What she found was a forest, not another location or object.",彼女は魔法の森を見つけた,data/sentence_stress/wavs/10792/10792_2_3.wav
305,The wizard used a magic potion.,Sentence Stress,Contrastive Stress (Noun-Phrase),Storytelling,10794,2,The wizard used a *MAGIC* potion.,"The potion is magic, not just any regular potion.",魔法使いは魔法の薬品を使った。,data/sentence_stress/wavs/10794/10794_1_0.wav,The wizard used a magic *POTION*.,"The wizard used a potion, not any other item or spell.",魔法使いは魔法の薬を使った。,data/sentence_stress/wavs/10794/10794_2_5.wav
306,She rode a white horse through the valley.,Sentence Stress,Contrastive Stress (Noun-Phrase),Storytelling,10798,2,She rode a *WHITE* horse through the valley.,"The horse is white, emphasizing its color.",彼女は谷を真っ白な馬で駆け抜けた,data/sentence_stress/wavs/10798/10798_1_5.wav,She rode a white *HORSE* through the valley.,"She rode a horse, not another type of animal, through the valley.",彼女は谷を白い馬に乗って駆け抜けた,data/sentence_stress/wavs/10798/10798_2_0.wav
307,I expected to see a clear report on my desk.,Sentence Stress,Contrastive Stress (Noun-Phrase),Conflict Resolution,10800,1,I expected to see a *CLEAR* report on my desk.,"I wanted the report to be clear, not confusing.",私の机の上に明確な報告書があることを期待していました。,data/sentence_stress/wavs/10800/10800_1_5.wav,I expected to see a clear *REPORT* on my desk.,"I expected a report specifically, not something else on my desk.",私の机の上に分かりやすい報告書があることを期待していました。,data/sentence_stress/wavs/10800/10800_2_0.wav
308,They discussed implementing the new policy during the meeting.,Sentence Stress,Contrastive Stress (Noun-Phrase),Conflict Resolution,10806,2,They discussed implementing the *NEW* policy during the meeting.,"The focus was on the policy being new, not old or existing.",彼らは会議中に新しい方針の実施について議論しました,data/sentence_stress/wavs/10806/10806_1_4.wav,They discussed implementing the new *POLICY* during the meeting.,"The discussion was focused on implementing a policy, not a different action or item.",彼らは会議中に新しい政策の実施について議論しました,data/sentence_stress/wavs/10806/10806_2_5.wav
309,I can’t find the important document in the files.,Sentence Stress,Contrastive Stress (Noun-Phrase),Conflict Resolution,10807,2,I can’t find the *IMPORTANT* document in the files.,"The document is of importance, as opposed to other less important ones.",重要な書類をファイルの中で見つけられません。,data/sentence_stress/wavs/10807/10807_1_2.wav,I can’t find the important *DOCUMENT* in the files.,"It’s a document that’s important, not another type of file or item.",大事な文書をファイルの中で見つけられません。,data/sentence_stress/wavs/10807/10807_2_5.wav
310,We need to verify the customer's complaint.,Sentence Stress,Contrastive Stress (Noun-Phrase),Conflict Resolution,10809,1,We need to verify the *CUSTOMER'S* complaint.,The verification is specifically for a complaint from a customer.,顧客の苦情を確認することが必要です。,data/sentence_stress/wavs/10809/10809_1_2.wav,We need to verify the customer's *COMPLAINT*.,"It's the complaint that needs verification, not something else related to the customer.",顧客の苦情を確認する必要があります。,data/sentence_stress/wavs/10809/10809_2_0.wav
311,The students just cited the articles in their essays.,Sentence Stress,Focus-sensitive Operators,Academic Writing,10811,1,The students just cited the *ARTICLES* in their essays.,The articles were the only sources cited in their essays.,学生たちはエッセイの中で記事だけを引用した。,data/sentence_stress/wavs/10811/10811_1_5.wav,The students just cited the articles in their *ESSAYS*.,The essays were the only places where the articles were cited.,学生たちはエッセイの中で記事を引用した。,data/sentence_stress/wavs/10811/10811_2_3.wav
312,The results even included the outliers in the analysis.,Sentence Stress,Focus-sensitive Operators,Academic Writing,10815,1,The results even included the *OUTLIERS* in the analysis.,The outliers were surprisingly included in the analysis.,結果には外れ値も含まれていました。,data/sentence_stress/wavs/10815/10815_1_0.wav,The results even included the outliers in the *ANALYSIS*.,"The analysis was surprisingly thorough, including the outliers.",結果には分析に外れ値も含まれていました。,data/sentence_stress/wavs/10815/10815_2_1.wav
313,The paper specifically examines the variables in the experiment.,Sentence Stress,Focus-sensitive Operators,Academic Writing,10816,1,The paper specifically examines the *VARIABLES* in the experiment.,The variables are examined in a specific manner in the experiment.,その論文は実験の変数を具体的に調査しています,data/sentence_stress/wavs/10816/10816_1_0.wav,The paper specifically examines the variables in the *EXPERIMENT*.,The experiment is the specific context where the variables are examined in the paper.,その論文は実験における変数を具体的に調査しています,data/sentence_stress/wavs/10816/10816_2_1.wav
314,The professor especially values the methodologies in the proposals.,Sentence Stress,Focus-sensitive Operators,Academic Writing,10818,1,The professor especially values the *METHODOLOGIES* in the proposals.,The methodologies are greatly valued by the professor in the proposals.,教授は特に提案書の方法論に価値を置いています。,data/sentence_stress/wavs/10818/10818_1_0.wav,The professor especially values the methodologies in the *PROPOSALS*.,The proposals are highly valued by the professor for their methodologies.,教授は特に提案書の方法論を重視しています。,data/sentence_stress/wavs/10818/10818_2_1.wav
315,The method mostly concerns the bacterial equilibrium.,Sentence Stress,Focus-sensitive Operators,Scientific Research Papers,10822,1,The *METHOD* mostly concerns the bacterial equilibrium.,It's mostly the method that concerns the bacterial equilibrium.,方法は主に細菌の均衡に関係しています。,data/sentence_stress/wavs/10822/10822_1_3.wav,The method mostly concerns the *BACTERIAL* equilibrium.,The method primarily deals with the equilibrium aspects related to bacteria.,方法は主に細菌に関する均衡に関係しています。,data/sentence_stress/wavs/10822/10822_2_0.wav
316,Our findings often include anomalies in human samples.,Sentence Stress,Focus-sensitive Operators,Scientific Research Papers,10824,1,Our *FINDINGS* often include anomalies in human samples.,It is frequently our findings that include anomalies in human samples.,我々の研究結果には頻繁に人間サンプルの異常が含まれます。,data/sentence_stress/wavs/10824/10824_1_1.wav,Our findings often include anomalies in *HUMAN* samples.,The human samples are the ones that often display anomalies in our findings.,我々の発見にはしばしば人間サンプルの異常が含まれます。,data/sentence_stress/wavs/10824/10824_2_1.wav
317,Researchers specifically targeted cancer cells in the experiment.,Sentence Stress,Focus-sensitive Operators,Scientific Research Papers,10826,1,Researchers specifically targeted *CANCER* cells in the experiment.,The specific focus of the targeting was on cancer cells.,研究者たちは実験で特に癌細胞を標的にしました。,data/sentence_stress/wavs/10826/10826_1_0.wav,Researchers specifically targeted cancer *CELLS* in the experiment.,The targeting was specific to cells as opposed to other components of cancer.,研究者たちは実験で特定の癌細胞を標的にしました。,data/sentence_stress/wavs/10826/10826_2_4.wav
318,The review particularly mentions neurological disorders.,Sentence Stress,Focus-sensitive Operators,Scientific Research Papers,10827,2,The *REVIEW* particularly mentions neurological disorders.,It is the review that particularly mentions neurological disorders.,レビューが特に神経障害について言及しています。,data/sentence_stress/wavs/10827/10827_1_2.wav,The review particularly mentions *NEUROLOGICAL* disorders.,The focus of mention is on disorders that are neurological.,レビューでは特に神経障害について言及されています。,data/sentence_stress/wavs/10827/10827_2_5.wav
319,The researchers simply ignored some variables in the experiment.,Sentence Stress,Focus-sensitive Operators,Scientific Research Papers,10829,1,The *RESEARCHERS* simply ignored some variables in the experiment.,The researchers were the ones who simply ignored some variables.,研究者たちこそが実験でいくつかの変数を単に無視しました,data/sentence_stress/wavs/10829/10829_1_2.wav,The researchers simply ignored some *VARIABLES* in the experiment.,Some specific variables were simply ignored by the researchers.,研究者たちは実験でいくつかの特定の変数を単に無視しました,data/sentence_stress/wavs/10829/10829_2_1.wav
320,The technician only replaced the capacitor on the circuit board.,Sentence Stress,Focus-sensitive Operators,Technical Manuals,10830,1,The technician only replaced the *CAPACITOR* on the circuit board.,The capacitor was the only component replaced on the circuit board.,技術者は回路基板のコンデンサだけを交換しました,data/sentence_stress/wavs/10830/10830_1_5.wav,The technician only replaced the capacitor on the *CIRCUIT* board.,The circuit board was the only location where the capacitor was replaced.,技術者はコンデンサを交換したのは回路基板だけです,data/sentence_stress/wavs/10830/10830_2_2.wav
